Date/Time,Year,Month,Day,Time,Temp (°C)
01/12/2018 0:00,2018,12,1,0:00,1.3
01/12/2018 1:00,2018,12,1,1:00,0.9
01/12/2018 2:00,2018,12,1,2:00,0.8
01/12/2018 3:00,2018,12,1,3:00,0.5
01/12/2018 4:00,2018,12,1,4:00,0.3
01/12/2018 5:00,2018,12,1,5:00,0.3
01/12/2018 6:00,2018,12,1,6:00,0.1
01/12/2018 7:00,2018,12,1,7:00,-0.1
01/12/2018 8:00,2018,12,1,8:00,0.3
01/12/2018 9:00,2018,12,1,9:00,1
01/12/2018 10:00,2018,12,1,10:00,1.5
01/12/2018 11:00,2018,12,1,11:00,2
01/12/2018 12:00,2018,12,1,12:00,2.4
01/12/2018 13:00,2018,12,1,13:00,3
01/12/2018 14:00,2018,12,1,14:00,2.9
01/12/2018 15:00,2018,12,1,15:00,2.5
01/12/2018 16:00,2018,12,1,16:00,2.6
01/12/2018 17:00,2018,12,1,17:00,2.5
01/12/2018 18:00,2018,12,1,18:00,2.8
01/12/2018 19:00,2018,12,1,19:00,2.2
01/12/2018 20:00,2018,12,1,20:00,2.2
01/12/2018 21:00,2018,12,1,21:00,2.3
01/12/2018 22:00,2018,12,1,22:00,2.4
01/12/2018 23:00,2018,12,1,23:00,2.5
02/12/2018 0:00,2018,12,2,0:00,2.7
02/12/2018 1:00,2018,12,2,1:00,2.9
02/12/2018 2:00,2018,12,2,2:00,3.1
02/12/2018 3:00,2018,12,2,3:00,3.3
02/12/2018 4:00,2018,12,2,4:00,3.5
02/12/2018 5:00,2018,12,2,5:00,3.8
02/12/2018 6:00,2018,12,2,6:00,4
02/12/2018 7:00,2018,12,2,7:00,4.2
02/12/2018 8:00,2018,12,2,8:00,4.5
02/12/2018 9:00,2018,12,2,9:00,4.9
02/12/2018 10:00,2018,12,2,10:00,5.2
02/12/2018 11:00,2018,12,2,11:00,5.6
02/12/2018 12:00,2018,12,2,12:00,6.4
02/12/2018 13:00,2018,12,2,13:00,6.9
02/12/2018 14:00,2018,12,2,14:00,7.6
02/12/2018 15:00,2018,12,2,15:00,9.4
02/12/2018 16:00,2018,12,2,16:00,9.6
02/12/2018 17:00,2018,12,2,17:00,6.6
02/12/2018 18:00,2018,12,2,18:00,6
02/12/2018 19:00,2018,12,2,19:00,5.4
02/12/2018 20:00,2018,12,2,20:00,7.3
02/12/2018 21:00,2018,12,2,21:00,8.1
02/12/2018 22:00,2018,12,2,22:00,5.8
02/12/2018 23:00,2018,12,2,23:00,6.1
03/12/2018 0:00,2018,12,3,0:00,6.9
03/12/2018 1:00,2018,12,3,1:00,7.1
03/12/2018 2:00,2018,12,3,2:00,7
03/12/2018 3:00,2018,12,3,3:00,5.8
03/12/2018 4:00,2018,12,3,4:00,4.8
03/12/2018 5:00,2018,12,3,5:00,4.8
03/12/2018 6:00,2018,12,3,6:00,4.6
03/12/2018 7:00,2018,12,3,7:00,2.8
03/12/2018 8:00,2018,12,3,8:00,1.6
03/12/2018 9:00,2018,12,3,9:00,1.1
03/12/2018 10:00,2018,12,3,10:00,1
03/12/2018 11:00,2018,12,3,11:00,0.5
03/12/2018 12:00,2018,12,3,12:00,0.3
03/12/2018 13:00,2018,12,3,13:00,0.4
03/12/2018 14:00,2018,12,3,14:00,0.4
03/12/2018 15:00,2018,12,3,15:00,0.2
03/12/2018 16:00,2018,12,3,16:00,-0.1
03/12/2018 17:00,2018,12,3,17:00,-0.2
03/12/2018 18:00,2018,12,3,18:00,-0.2
03/12/2018 19:00,2018,12,3,19:00,-0.2
03/12/2018 20:00,2018,12,3,20:00,-0.6
03/12/2018 21:00,2018,12,3,21:00,-0.9
03/12/2018 22:00,2018,12,3,22:00,-1.2
03/12/2018 23:00,2018,12,3,23:00,-2.3
04/12/2018 0:00,2018,12,4,0:00,-2.5
04/12/2018 1:00,2018,12,4,1:00,-2.3
04/12/2018 2:00,2018,12,4,2:00,-2.6
04/12/2018 3:00,2018,12,4,3:00,-3.1
04/12/2018 4:00,2018,12,4,4:00,-4
04/12/2018 5:00,2018,12,4,5:00,-4.7
04/12/2018 6:00,2018,12,4,6:00,-4.6
04/12/2018 7:00,2018,12,4,7:00,-5
04/12/2018 8:00,2018,12,4,8:00,-5.3
04/12/2018 9:00,2018,12,4,9:00,-5.3
04/12/2018 10:00,2018,12,4,10:00,-4.3
04/12/2018 11:00,2018,12,4,11:00,-3.8
04/12/2018 12:00,2018,12,4,12:00,-3.4
04/12/2018 13:00,2018,12,4,13:00,-2.5
04/12/2018 14:00,2018,12,4,14:00,-1.2
04/12/2018 15:00,2018,12,4,15:00,-1.1
04/12/2018 16:00,2018,12,4,16:00,-1.4
04/12/2018 17:00,2018,12,4,17:00,-3.1
