Date/Time,Year,Month,Day,Time,Temp (°C)
01/02/2019 0:00,2019,2,1,0:00,-16.3
01/02/2019 1:00,2019,2,1,1:00,-16.8
01/02/2019 2:00,2019,2,1,2:00,-17
01/02/2019 3:00,2019,2,1,3:00,-17.3
01/02/2019 4:00,2019,2,1,4:00,-17.4
01/02/2019 5:00,2019,2,1,5:00,-17.4
01/02/2019 6:00,2019,2,1,6:00,-17
01/02/2019 7:00,2019,2,1,7:00,-16.6
01/02/2019 8:00,2019,2,1,8:00,-16.2
01/02/2019 9:00,2019,2,1,9:00,-15.3
01/02/2019 10:00,2019,2,1,10:00,-13.1
01/02/2019 11:00,2019,2,1,11:00,-11.8
01/02/2019 12:00,2019,2,1,12:00,-11.3
01/02/2019 13:00,2019,2,1,13:00,-9.5
01/02/2019 14:00,2019,2,1,14:00,-9.2
01/02/2019 15:00,2019,2,1,15:00,-9.7
01/02/2019 16:00,2019,2,1,16:00,-9.5
01/02/2019 17:00,2019,2,1,17:00,-9.7
01/02/2019 18:00,2019,2,1,18:00,-9.7
01/02/2019 19:00,2019,2,1,19:00,-10.1
01/02/2019 20:00,2019,2,1,20:00,-11.1
01/02/2019 21:00,2019,2,1,21:00,-12.2
01/02/2019 22:00,2019,2,1,22:00,-13
01/02/2019 23:00,2019,2,1,23:00,-13.1
02/02/2019 0:00,2019,2,2,0:00,-13.3
02/02/2019 1:00,2019,2,2,1:00,-12.9
02/02/2019 2:00,2019,2,2,2:00,-12.7
02/02/2019 3:00,2019,2,2,3:00,-13.3
02/02/2019 4:00,2019,2,2,4:00,-12.1
02/02/2019 5:00,2019,2,2,5:00,-11.3
02/02/2019 6:00,2019,2,2,6:00,-10.1
02/02/2019 7:00,2019,2,2,7:00,-8.6
02/02/2019 8:00,2019,2,2,8:00,-7.8
02/02/2019 9:00,2019,2,2,9:00,-7.4
02/02/2019 10:00,2019,2,2,10:00,-6.3
02/02/2019 11:00,2019,2,2,11:00,-4.9
02/02/2019 12:00,2019,2,2,12:00,-3.8
02/02/2019 13:00,2019,2,2,13:00,-2.4
02/02/2019 14:00,2019,2,2,14:00,-1.3
02/02/2019 15:00,2019,2,2,15:00,-0.5
02/02/2019 16:00,2019,2,2,16:00,0.1
02/02/2019 17:00,2019,2,2,17:00,0.7
02/02/2019 18:00,2019,2,2,18:00,1.1
02/02/2019 19:00,2019,2,2,19:00,1.1
02/02/2019 20:00,2019,2,2,20:00,1
02/02/2019 21:00,2019,2,2,21:00,0.7
02/02/2019 22:00,2019,2,2,22:00,0.7
02/02/2019 23:00,2019,2,2,23:00,0.5
03/02/2019 0:00,2019,2,3,0:00,0.7
03/02/2019 1:00,2019,2,3,1:00,0.7
03/02/2019 2:00,2019,2,3,2:00,0.5
03/02/2019 3:00,2019,2,3,3:00,0.5
03/02/2019 4:00,2019,2,3,4:00,0.8
03/02/2019 5:00,2019,2,3,5:00,1.3
03/02/2019 6:00,2019,2,3,6:00,1.9
03/02/2019 7:00,2019,2,3,7:00,2.6
03/02/2019 8:00,2019,2,3,8:00,2.8
03/02/2019 9:00,2019,2,3,9:00,3.1
03/02/2019 10:00,2019,2,3,10:00,3.6
03/02/2019 11:00,2019,2,3,11:00,4.2
03/02/2019 12:00,2019,2,3,12:00,5
03/02/2019 13:00,2019,2,3,13:00,5.6
03/02/2019 14:00,2019,2,3,14:00,5.6
03/02/2019 15:00,2019,2,3,15:00,6.3
03/02/2019 16:00,2019,2,3,16:00,7.4
