Date/Time,Year,Month,Day,Time,Temp (°C)
01/03/2019 0:00,2019,3,1,0:00,-11.1
01/03/2019 1:00,2019,3,1,1:00,-11
01/03/2019 2:00,2019,3,1,2:00,-11.7
01/03/2019 3:00,2019,3,1,3:00,-12.4
01/03/2019 4:00,2019,3,1,4:00,-12.9
01/03/2019 5:00,2019,3,1,5:00,-13.1
01/03/2019 6:00,2019,3,1,6:00,-13.4
01/03/2019 7:00,2019,3,1,7:00,-13
01/03/2019 8:00,2019,3,1,8:00,-10.5
01/03/2019 9:00,2019,3,1,9:00,-7.8
01/03/2019 10:00,2019,3,1,10:00,-5
01/03/2019 11:00,2019,3,1,11:00,-3.1
01/03/2019 12:00,2019,3,1,12:00,-2.3
01/03/2019 13:00,2019,3,1,13:00,-1.8
01/03/2019 14:00,2019,3,1,14:00,-1.1
01/03/2019 15:00,2019,3,1,15:00,-0.9
01/03/2019 16:00,2019,3,1,16:00,-1.9
01/03/2019 17:00,2019,3,1,17:00,-2.5
01/03/2019 18:00,2019,3,1,18:00,-3.2
01/03/2019 19:00,2019,3,1,19:00,-3.6
01/03/2019 20:00,2019,3,1,20:00,-4
01/03/2019 21:00,2019,3,1,21:00,-5.8
01/03/2019 22:00,2019,3,1,22:00,-6.4
01/03/2019 23:00,2019,3,1,23:00,-6.3
02/03/2019 0:00,2019,3,2,0:00,-6.7
02/03/2019 1:00,2019,3,2,1:00,-6.5
02/03/2019 2:00,2019,3,2,2:00,-6.4
02/03/2019 3:00,2019,3,2,3:00,-5.6
02/03/2019 4:00,2019,3,2,4:00,-4.6
02/03/2019 5:00,2019,3,2,5:00,-4.5
02/03/2019 6:00,2019,3,2,6:00,-4.4
02/03/2019 7:00,2019,3,2,7:00,-4.3
02/03/2019 8:00,2019,3,2,8:00,-4.2
02/03/2019 9:00,2019,3,2,9:00,-3.3
02/03/2019 10:00,2019,3,2,10:00,-2.3
02/03/2019 11:00,2019,3,2,11:00,-3.5
02/03/2019 12:00,2019,3,2,12:00,-3.3
02/03/2019 13:00,2019,3,2,13:00,-2.6
02/03/2019 14:00,2019,3,2,14:00,-2.3
02/03/2019 15:00,2019,3,2,15:00,-1.7
02/03/2019 16:00,2019,3,2,16:00,-1.6
02/03/2019 17:00,2019,3,2,17:00,-1.8
02/03/2019 18:00,2019,3,2,18:00,-2
02/03/2019 19:00,2019,3,2,19:00,-2.4
02/03/2019 20:00,2019,3,2,20:00,-3.1
02/03/2019 21:00,2019,3,2,21:00,-4
02/03/2019 22:00,2019,3,2,22:00,-5.1
02/03/2019 23:00,2019,3,2,23:00,-5.7
03/03/2019 0:00,2019,3,3,0:00,-4.3
03/03/2019 1:00,2019,3,3,1:00,-4.3
03/03/2019 2:00,2019,3,3,2:00,-5.2
03/03/2019 3:00,2019,3,3,3:00,-5.8
03/03/2019 4:00,2019,3,3,4:00,-5.7
03/03/2019 5:00,2019,3,3,5:00,-5.5
03/03/2019 6:00,2019,3,3,6:00,-6.6
03/03/2019 7:00,2019,3,3,7:00,-6.7
03/03/2019 8:00,2019,3,3,8:00,-6.7
03/03/2019 9:00,2019,3,3,9:00,-6
03/03/2019 10:00,2019,3,3,10:00,-4.6
03/03/2019 11:00,2019,3,3,11:00,-3
03/03/2019 12:00,2019,3,3,12:00,-2.8
03/03/2019 13:00,2019,3,3,13:00,-1.8
03/03/2019 14:00,2019,3,3,14:00,-1.9
03/03/2019 15:00,2019,3,3,15:00,-2.6
03/03/2019 16:00,2019,3,3,16:00,-2.5
03/03/2019 17:00,2019,3,3,17:00,-3
03/03/2019 18:00,2019,3,3,18:00,-4.1
03/03/2019 19:00,2019,3,3,19:00,-4.1
03/03/2019 20:00,2019,3,3,20:00,-4.3
03/03/2019 21:00,2019,3,3,21:00,-5.5
03/03/2019 22:00,2019,3,3,22:00,-8.2
03/03/2019 23:00,2019,3,3,23:00,-8.1
04/03/2019 0:00,2019,3,4,0:00,-9.1
04/03/2019 1:00,2019,3,4,1:00,-10.1
04/03/2019 2:00,2019,3,4,2:00,-11
04/03/2019 3:00,2019,3,4,3:00,-11.5
04/03/2019 4:00,2019,3,4,4:00,-12.9
04/03/2019 5:00,2019,3,4,5:00,-13.5
04/03/2019 6:00,2019,3,4,6:00,-14.3
04/03/2019 7:00,2019,3,4,7:00,-14.1
04/03/2019 8:00,2019,3,4,8:00,-12.9
04/03/2019 9:00,2019,3,4,9:00,-11.3
04/03/2019 10:00,2019,3,4,10:00,-10.8
04/03/2019 11:00,2019,3,4,11:00,-9.7
04/03/2019 12:00,2019,3,4,12:00,-8.9
04/03/2019 13:00,2019,3,4,13:00,-8.5
04/03/2019 14:00,2019,3,4,14:00,-8.2
04/03/2019 15:00,2019,3,4,15:00,-8.9
04/03/2019 16:00,2019,3,4,16:00,-9.3
04/03/2019 17:00,2019,3,4,17:00,-9.8
04/03/2019 18:00,2019,3,4,18:00,-10.6
04/03/2019 19:00,2019,3,4,19:00,-10.8
04/03/2019 20:00,2019,3,4,20:00,-11.2
04/03/2019 21:00,2019,3,4,21:00,-11.8
04/03/2019 22:00,2019,3,4,22:00,-12.6
04/03/2019 23:00,2019,3,4,23:00,-13
05/03/2019 0:00,2019,3,5,0:00,-13.6
05/03/2019 1:00,2019,3,5,1:00,-14.2
05/03/2019 2:00,2019,3,5,2:00,-14.3
05/03/2019 3:00,2019,3,5,3:00,-14.4
05/03/2019 4:00,2019,3,5,4:00,-14.4
05/03/2019 5:00,2019,3,5,5:00,-14.4
05/03/2019 6:00,2019,3,5,6:00,-14
05/03/2019 7:00,2019,3,5,7:00,-13.8
05/03/2019 8:00,2019,3,5,8:00,-13
05/03/2019 9:00,2019,3,5,9:00,-11.8
05/03/2019 10:00,2019,3,5,10:00,-10.6
05/03/2019 11:00,2019,3,5,11:00,-10
05/03/2019 12:00,2019,3,5,12:00,-10
05/03/2019 13:00,2019,3,5,13:00,-8.7
05/03/2019 14:00,2019,3,5,14:00,-9
05/03/2019 15:00,2019,3,5,15:00,-8.6
05/03/2019 16:00,2019,3,5,16:00,-9.2
05/03/2019 17:00,2019,3,5,17:00,-9.3
05/03/2019 18:00,2019,3,5,18:00,-10.4
05/03/2019 19:00,2019,3,5,19:00,-11.1
05/03/2019 20:00,2019,3,5,20:00,-11.7
05/03/2019 21:00,2019,3,5,21:00,-12.1
05/03/2019 22:00,2019,3,5,22:00,-11.9
05/03/2019 23:00,2019,3,5,23:00,-12.3
06/03/2019 0:00,2019,3,6,0:00,-12.5
06/03/2019 1:00,2019,3,6,1:00,-12.4
06/03/2019 2:00,2019,3,6,2:00,-12.6
06/03/2019 3:00,2019,3,6,3:00,-12.8
06/03/2019 4:00,2019,3,6,4:00,-12.9
06/03/2019 5:00,2019,3,6,5:00,-12.4
06/03/2019 6:00,2019,3,6,6:00,-13.2
06/03/2019 7:00,2019,3,6,7:00,-13.7
06/03/2019 8:00,2019,3,6,8:00,-12.8
06/03/2019 9:00,2019,3,6,9:00,-11.7
06/03/2019 10:00,2019,3,6,10:00,-10.6
06/03/2019 11:00,2019,3,6,11:00,-10.3
06/03/2019 12:00,2019,3,6,12:00,-9.7
06/03/2019 13:00,2019,3,6,13:00,-9.8
06/03/2019 14:00,2019,3,6,14:00,-9.6
06/03/2019 15:00,2019,3,6,15:00,-9.2
06/03/2019 16:00,2019,3,6,16:00,-9.1
06/03/2019 17:00,2019,3,6,17:00,-10.1
06/03/2019 18:00,2019,3,6,18:00,-11.1
06/03/2019 19:00,2019,3,6,19:00,-11.6
06/03/2019 20:00,2019,3,6,20:00,-12.1
06/03/2019 21:00,2019,3,6,21:00,-12.3
06/03/2019 22:00,2019,3,6,22:00,-11.5
06/03/2019 23:00,2019,3,6,23:00,-10.8
07/03/2019 0:00,2019,3,7,0:00,-11
07/03/2019 1:00,2019,3,7,1:00,-11.1
07/03/2019 2:00,2019,3,7,2:00,-10.9
07/03/2019 3:00,2019,3,7,3:00,-10.9
07/03/2019 4:00,2019,3,7,4:00,-11.7
07/03/2019 5:00,2019,3,7,5:00,-12.2
07/03/2019 6:00,2019,3,7,6:00,-11.9
07/03/2019 7:00,2019,3,7,7:00,-12.4
07/03/2019 8:00,2019,3,7,8:00,-11.3
07/03/2019 9:00,2019,3,7,9:00,-10.4
07/03/2019 10:00,2019,3,7,10:00,-9.5
07/03/2019 11:00,2019,3,7,11:00,-8.2
07/03/2019 12:00,2019,3,7,12:00,-7.5
07/03/2019 13:00,2019,3,7,13:00,-6.6
07/03/2019 14:00,2019,3,7,14:00,-6.2
07/03/2019 15:00,2019,3,7,15:00,-5.9
07/03/2019 16:00,2019,3,7,16:00,-5.8
07/03/2019 17:00,2019,3,7,17:00,-6.7
07/03/2019 18:00,2019,3,7,18:00,-7.9
07/03/2019 19:00,2019,3,7,19:00,-8.6
07/03/2019 20:00,2019,3,7,20:00,-9.2
07/03/2019 21:00,2019,3,7,21:00,-10.1
07/03/2019 22:00,2019,3,7,22:00,-10.7
07/03/2019 23:00,2019,3,7,23:00,-11.3
08/03/2019 0:00,2019,3,8,0:00,-12.1
08/03/2019 1:00,2019,3,8,1:00,-12.5
08/03/2019 2:00,2019,3,8,2:00,-12.7
08/03/2019 3:00,2019,3,8,3:00,-12.7
08/03/2019 4:00,2019,3,8,4:00,-12.9
08/03/2019 5:00,2019,3,8,5:00,-13.8
08/03/2019 6:00,2019,3,8,6:00,-13.5
08/03/2019 7:00,2019,3,8,7:00,-15.1
08/03/2019 8:00,2019,3,8,8:00,-11.5
08/03/2019 9:00,2019,3,8,9:00,-8.5
08/03/2019 10:00,2019,3,8,10:00,-6.3
08/03/2019 11:00,2019,3,8,11:00,-4.7
08/03/2019 12:00,2019,3,8,12:00,-3.5
08/03/2019 13:00,2019,3,8,13:00,-3.2
08/03/2019 14:00,2019,3,8,14:00,-2.1
08/03/2019 15:00,2019,3,8,15:00,-1.8
08/03/2019 16:00,2019,3,8,16:00,-1.3
08/03/2019 17:00,2019,3,8,17:00,-1.3
08/03/2019 18:00,2019,3,8,18:00,-2.9
08/03/2019 19:00,2019,3,8,19:00,-3.8
08/03/2019 20:00,2019,3,8,20:00,-4.1
08/03/2019 21:00,2019,3,8,21:00,-4.8
08/03/2019 22:00,2019,3,8,22:00,-4.8
08/03/2019 23:00,2019,3,8,23:00,-5.6
09/03/2019 0:00,2019,3,9,0:00,-6.3
09/03/2019 1:00,2019,3,9,1:00,-8.8
09/03/2019 2:00,2019,3,9,2:00,-9.1
09/03/2019 3:00,2019,3,9,3:00,-10.4
09/03/2019 4:00,2019,3,9,4:00,-10.8
09/03/2019 5:00,2019,3,9,5:00,-12.5
09/03/2019 6:00,2019,3,9,6:00,-11.8
09/03/2019 7:00,2019,3,9,7:00,-11.9
09/03/2019 8:00,2019,3,9,8:00,-10
09/03/2019 9:00,2019,3,9,9:00,-5.7
09/03/2019 10:00,2019,3,9,10:00,-2.7
09/03/2019 11:00,2019,3,9,11:00,-1.4
09/03/2019 12:00,2019,3,9,12:00,-0.8
09/03/2019 13:00,2019,3,9,13:00,-0.5
09/03/2019 14:00,2019,3,9,14:00,-0.7
09/03/2019 15:00,2019,3,9,15:00,-0.4
09/03/2019 16:00,2019,3,9,16:00,-0.4
09/03/2019 17:00,2019,3,9,17:00,-1.4
09/03/2019 18:00,2019,3,9,18:00,-1.9
09/03/2019 19:00,2019,3,9,19:00,-1.8
09/03/2019 20:00,2019,3,9,20:00,-1.4
09/03/2019 21:00,2019,3,9,21:00,-1.1
09/03/2019 22:00,2019,3,9,22:00,-0.5
09/03/2019 23:00,2019,3,9,23:00,-0.1
10/03/2019 0:00,2019,3,10,0:00,0.1
10/03/2019 1:00,2019,3,10,1:00,0.1
10/03/2019 2:00,2019,3,10,2:00,0.4
10/03/2019 3:00,2019,3,10,3:00,0.4
10/03/2019 4:00,2019,3,10,4:00,1
10/03/2019 5:00,2019,3,10,5:00,1.4
10/03/2019 6:00,2019,3,10,6:00,1.8
10/03/2019 7:00,2019,3,10,7:00,2.1
10/03/2019 8:00,2019,3,10,8:00,2.4
10/03/2019 9:00,2019,3,10,9:00,4.3
10/03/2019 10:00,2019,3,10,10:00,4.8
10/03/2019 11:00,2019,3,10,11:00,5.2
10/03/2019 12:00,2019,3,10,12:00,4.3
