Date,time_start,time_end,tou_period
01/01/2019,0,7,1
01/01/2019,7,11,3
01/01/2019,11,17,2
01/01/2019,17,19,3
01/01/2019,19,24,1
01/02/2019,0,7,1
01/02/2019,7,11,3
01/02/2019,11,17,2
01/02/2019,17,19,3
01/02/2019,19,24,1
01/03/2019,0,7,1
01/03/2019,7,11,3
01/03/2019,11,17,2
01/03/2019,17,19,3
01/03/2019,19,24,1
01/04/2019,0,7,1
01/04/2019,7,11,3
01/04/2019,11,17,2
01/04/2019,17,19,3
01/04/2019,19,24,1
01/05/2019,0,7,1
01/05/2019,7,11,2
01/05/2019,11,17,3
01/05/2019,17,19,2
01/05/2019,19,24,1
01/06/2019,0,7,1
01/06/2019,7,11,2
01/06/2019,11,17,3
01/06/2019,17,19,2
01/06/2019,19,24,1
01/07/2019,0,7,1
01/07/2019,7,11,3
01/07/2019,11,17,2
01/07/2019,17,19,3
01/07/2019,19,24,1
01/08/2019,0,7,1
01/08/2019,7,11,3
01/08/2019,11,17,2
01/08/2019,17,19,3
01/08/2019,19,24,1
01/09/2019,0,7,1
01/09/2019,7,11,3
01/09/2019,11,17,2
01/09/2019,17,19,3
01/09/2019,19,24,1
01/10/2019,0,7,1
01/10/2019,7,11,3
01/10/2019,11,17,2
01/10/2019,17,19,3
01/10/2019,19,24,1
01/11/2019,0,7,1
01/11/2019,7,11,3
01/11/2019,11,17,2
01/11/2019,17,19,3
01/11/2019,19,24,1
01/12/2019,0,7,1
01/12/2019,7,11,3
01/12/2019,11,17,2
01/12/2019,17,19,3
01/12/2019,19,24,1
